direction,entry_time,entry_price,sl,tp,exit_time,exit_price,pnl,result
BUY,2025-11-19 16:30:00,4112.35,4099.022346194731,4119.458082029478,2025-11-19 16:45:00,4119.458082029478,7.108082029477373,WIN
BUY,2025-11-19 17:00:00,4129.75,4115.27704850464,4137.468907464192,2025-11-19 17:30:00,4115.27704850464,-14.472951495359666,LOSS
SELL,2025-11-19 21:00:00,4077.86,4095.497649952674,4068.4532533585743,2025-11-19 23:15:00,4068.4532533585743,9.406746641425798,WIN
SELL,2025-11-19 23:45:00,4077.72,4091.507290923418,4070.3667781741765,2025-11-20 01:30:00,4091.507290923418,-13.787290923418368,LOSS
SELL,2025-11-20 04:00:00,4063.26,4078.4228445123,4055.1731495934405,2025-11-20 04:15:00,4055.1731495934405,8.086850406559734,WIN
SELL,2025-11-20 05:15:00,4075.97,4092.4495989998686,4067.180880533403,2025-11-20 05:30:00,4067.180880533403,8.78911946659673,WIN
SELL,2025-11-20 06:15:00,4078.1,4093.5588940034163,4069.8552565315113,2025-11-20 07:00:00,4069.8552565315113,8.24474346848865,WIN
SELL,2025-11-20 08:15:00,4062.77,4077.3841484799095,4054.975787477382,2025-11-20 09:45:00,4054.975787477382,7.7942125226181815,WIN
SELL,2025-11-20 11:15:00,4059.1,4076.1309469644552,4050.016828285624,2025-11-20 14:15:00,4076.1309469644552,-17.030946964455325,LOSS
BUY,2025-11-20 15:45:00,4080.01,4062.3743119097453,4089.415700314803,2025-11-20 16:30:00,4089.415700314803,9.405700314802743,WIN
BUY,2025-11-20 16:45:00,4093.2,4074.291935455389,4103.284301090459,2025-11-20 17:45:00,4074.291935455389,-18.908064544610625,LOSS
SELL,2025-11-20 20:00:00,4066.19,4086.2327573319967,4055.500529422935,2025-11-20 21:15:00,4086.2327573319967,-20.042757331996654,LOSS
SELL,2025-11-21 08:00:00,4051.59,4065.8557621780797,4043.981593505024,2025-11-21 08:15:00,4043.981593505024,7.608406494975952,WIN
SELL,2025-11-21 10:30:00,4043.38,4058.481049985081,4035.3261066746236,2025-11-21 11:00:00,4058.481049985081,-15.101049985080863,LOSS
SELL,2025-11-21 12:00:00,4038.74,4054.9658509345645,4030.0862128348986,2025-11-21 14:30:00,4054.9658509345645,-16.225850934564733,LOSS
BUY,2025-11-21 17:45:00,4069.51,4053.7485095219336,4077.9161282549694,2025-11-21 18:30:00,4077.9161282549694,8.40612825496919,WIN
BUY,2025-11-24 01:00:00,4074.3,4060.274209718919,4081.7804214832436,2025-11-24 02:00:00,4060.274209718919,-14.0257902810813,LOSS
SELL,2025-11-24 03:15:00,4055.18,4069.118777373102,4047.7459854010117,2025-11-24 03:45:00,4047.7459854010117,7.434014598988142,WIN
SELL,2025-11-24 05:45:00,4050.34,4062.437173846696,4043.888173948429,2025-11-24 06:45:00,4043.888173948429,6.451826051571061,WIN
BUY,2025-11-24 13:00:00,4066.46,4055.979035812334,4072.049847566755,2025-11-24 14:00:00,4072.049847566755,5.589847566754997,WIN
BUY,2025-11-24 14:15:00,4070.57,4061.138429316782,4075.6001710310497,2025-11-24 14:30:00,4075.6001710310497,5.030171031049576,WIN
BUY,2025-11-24 16:45:00,4081.18,4069.650985393623,4087.3288077900675,2025-11-24 17:00:00,4087.3288077900675,6.148807790067622,WIN
BUY,2025-11-24 20:15:00,4095.63,4085.7385844528217,4100.905421625162,2025-11-24 20:30:00,4100.905421625162,5.275421625161471,WIN
